x;y
-123;-113
-122;-113
-121;-113
-118;-113
-116;-113
-115;-113
-113;-113
-104;-113
-104;-113
-94;-113
-90;-113
-80;-113
-76;-113
-71;-113
-66;-113
-57;-113
-57;-113
-50;-113
-47;-113
-43;-113
-40;-113
-34;-113
-30;-113
-27;-113
-20;-113
-17;-113
-11;-113
-7;-113
-4;-113
-1;-113
1;-113
5;-113
11;-113
14;-113
17;-113
21;-113
27;-113
31;-113
34;-113
37;-113
44;-113
49;-113
53;-113
58;-113
68;-113
72;-113
76;-113
82;-113
86;-113
89;-113
92;-113
96;-113
102;-113
105;-113
109;-113
112;-113
116;-113
118;-113
120;-113
122;-113
124;-113
126;-113
126;-113
126;-113
126;-113
126;-113
126;-113
126;-113
126;-113
126;-113
126;-113
126;-113
126;-113
126;-113
126;-113
126;-113
126;-113
126;-113
126;-113
126;-113
126;-113
126;-113
126;-113
126;-113
126;-113
126;-113
126;-113
126;-113
126;-113
126;-113
126;-113
126;-113
126;-113
